,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
54,20580,278,72,24290,29870,312,101,32389,24,6,0,0,0,1,0,1,0,3,4,19,23,4,1,0,0,0,0,0,0,19,30,3,1633045029856,red,NA1_4057955324
55,24313,285,75,26395,28814,288,94,29584,23,6,0,0,0,0,0,0,0,10,10,20,22,5,1,0,1,0,1,0,0,20,20,10,1634018876967,red,NA1_4069153782
56,27087,318,124,30890,28363,328,74,29949,25,5,0,1,1,0,0,0,0,11,7,15,22,3,0,0,0,0,1,1,0,15,15,11,1634832406988,blue,NA1_4077631173
57,25034,274,80,29711,23855,281,80,29415,26,5,1,0,0,1,0,1,0,16,13,11,18,4,0,0,0,0,0,0,0,11,4,16,1635101841153,red,NA1_4080583576
58,24589,253,92,27445,24891,266,48,26648,28,5,0,0,1,0,0,0,0,12,11,11,19,4,0,0,0,0,1,1,0,11,13,12,1631829844023,blue,NA1_4044086687
59,27263,263,64,25756,29100,285,111,30221,26,2,0,0,0,1,1,0,0,16,20,18,21,4,1,0,0,0,0,1,0,18,21,16,1629939183246,red,NA1_4022958957
60,25594,299,85,30021,25322,309,78,30043,29,6,0,0,0,0,0,1,0,12,17,13,27,7,1,0,0,0,0,0,0,13,10,12,1634877496208,blue,NA1_4078144840
61,32125,326,62,29990,28319,287,69,28094,20,7,0,0,0,0,2,1,0,23,27,18,22,2,0,1,0,0,0,0,0,18,30,23,1633467522250,blue,NA1_4062640359
62,27930,381,68,30855,24664,329,105,29193,22,7,0,0,1,1,1,1,0,13,17,6,21,3,0,0,0,0,0,0,0,6,8,13,1633051278523,blue,NA1_4057977402
63,35008,368,83,34469,21160,274,76,24424,16,13,0,0,1,0,4,1,1,28,29,6,27,1,0,1,0,0,0,0,0,6,3,28,1636669153635,blue,NA1_4100009854
64,25284,296,80,27108,28180,335,87,30533,22,6,0,0,1,0,0,0,0,10,13,13,18,5,1,0,0,0,1,1,0,13,10,10,1633497658705,blue,NA1_4063200825
65,27540,330,96,29349,26397,354,92,30875,23,5,0,0,0,1,2,1,0,10,15,11,26,4,1,0,0,0,0,0,0,11,12,10,1634048164953,blue,NA1_4069258506
66,28074,340,84,29531,28342,327,56,29024,26,3,0,1,1,0,1,0,0,15,15,14,22,4,0,0,0,0,2,1,0,14,19,15,1634095398804,red,NA1_4069745164
67,33227,365,110,35157,22365,292,77,27497,26,3,0,0,0,0,3,1,0,20,18,8,16,6,0,0,0,0,0,0,0,8,7,20,1631665340524,blue,NA1_4042626539
68,30090,358,72,31692,25751,316,97,28198,22,8,0,0,0,1,3,1,0,18,21,10,27,4,1,0,0,0,0,0,0,10,9,18,1627588517081,red,NA1_3993680622
