,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
377,26915,328,89,28755,24464,336,88,27852,24,3,1,1,0,0,1,0,0,13,18,6,25,3,0,0,0,0,2,1,0,6,6,13,1614895178252,blue,NA1_3811685848
378,27232,306,85,27663,22553,294,79,28246,19,0,0,0,0,0,0,1,0,12,15,8,23,6,0,0,1,0,0,0,0,8,12,12,1614488228292,blue,NA1_3806018703
379,20048,217,72,22771,29076,327,92,31738,15,3,0,0,0,0,0,0,0,5,8,18,23,4,1,0,0,1,0,0,0,18,25,5,1616305574485,red,NA1_3835069960
380,26174,288,71,26996,29952,325,92,30520,20,4,0,0,1,0,1,0,0,11,13,16,22,2,0,0,0,0,1,1,0,16,15,11,1614898995811,red,NA1_3811715363
381,24972,302,68,25292,23489,277,56,24377,30,5,0,0,0,0,0,0,0,10,12,10,26,6,0,0,1,0,0,1,0,10,15,10,1614880953168,red,NA1_3811533513
382,26880,329,88,32233,25349,303,68,28148,28,2,1,0,0,0,0,0,0,15,14,9,20,4,0,0,0,0,1,0,0,9,12,15,1616545506949,blue,NA1_3838639504
383,31348,316,92,30008,26545,274,67,26191,28,11,0,0,0,1,2,1,0,21,27,15,24,4,0,1,0,0,0,0,0,15,30,21,1616125675620,blue,NA1_3832063807
384,27136,308,72,27940,26866,340,80,27715,29,9,1,0,0,0,0,0,0,15,20,14,32,8,0,0,0,0,0,0,0,14,16,15,1615843552618,blue,NA1_3827044714
385,21631,304,87,23752,31018,341,80,32394,24,7,0,0,0,0,0,1,0,4,7,24,27,6,0,1,0,0,0,0,0,24,20,4,1615351729562,red,NA1_3818933931
386,25278,331,64,28186,27638,369,84,30939,29,5,1,0,0,0,0,0,0,11,21,13,24,6,0,0,1,0,0,1,0,13,11,11,1614897137132,blue,NA1_3811691290
387,25870,272,85,28446,24872,318,78,27818,18,4,0,0,0,0,0,1,0,12,16,10,25,4,1,0,0,1,0,0,0,10,18,12,1613859248459,red,NA1_3796219500
388,25050,294,98,28175,27790,333,74,28861,27,7,1,0,0,1,0,0,0,12,14,12,28,7,0,0,0,0,2,1,0,12,18,12,1616014134808,blue,NA1_3830113194
389,28646,321,80,28448,25273,300,87,28679,22,7,0,0,0,1,2,1,0,16,14,11,23,3,0,1,0,0,0,0,0,11,11,16,1613781765002,red,NA1_3794870687
390,26340,354,97,28359,29018,364,84,30309,32,5,1,0,0,0,1,1,0,6,7,11,24,7,0,1,0,0,1,0,0,11,14,6,1615917330131,red,NA1_3828219344
391,31880,339,74,31003,23616,263,79,27009,25,3,1,0,0,1,1,1,0,23,19,8,20,4,0,0,0,0,0,0,0,8,3,23,1615161690071,blue,NA1_3815880249
392,28134,309,84,29248,25424,306,79,30235,20,3,0,0,0,1,0,1,0,16,19,13,22,6,0,1,0,0,1,0,0,13,9,16,1616352454780,blue,NA1_3835592997
393,28149,326,99,30682,24983,272,56,27440,27,7,0,0,1,0,1,0,0,14,12,15,26,11,0,1,0,0,0,1,0,15,19,14,1613753067277,blue,NA1_3794458764
394,22361,262,60,25799,30988,315,103,31165,19,1,0,0,0,0,0,0,0,9,8,19,27,1,0,0,0,1,1,1,0,19,17,9,1615224921079,red,NA1_3816899410
